abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase 
yes,Skoda,NULL,Sedan,NULL,4,5.6 l/100 km.,55 l,Petrol (Gasoline),Rapid Sedan (China),1120 kg.,NULL,Rapid,1.5i (110 Hp),4,5,4,NULL,Inline,110 hp/6000 rpm.,5,150 Nm/4000 rpm.,2603 mm.
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"105,120 (744)",NULL,NULL,"105,120","1.0 105 S,L (44 Hp)",NULL,NULL,NULL,NULL,NULL,44 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"105,120 (744)",NULL,NULL,"105,120","1.0 105 S,L,LS (45 Hp)",NULL,NULL,NULL,NULL,NULL,45 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"105,120 (744)",NULL,NULL,"105,120",1.2 120 L (48 Hp),NULL,NULL,NULL,NULL,NULL,48 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"105,120 (744)",NULL,NULL,"105,120",1.2 120 L (52 Hp),NULL,NULL,NULL,NULL,NULL,52 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),110,NULL,NULL,110,1.1 L (45 Hp),NULL,NULL,NULL,NULL,NULL,45 hp,NULL,NULL,NULL
NULL,Skoda,9.5,Sedan,72 mm.,4,7.8 l/100 km.,37 l,Petrol (Gasoline),"105,120 (744)",1290 kg.,NULL,"105,120",1.2 120 GLS (58 Hp),4,5,2,72 mm.,Inline,58 hp,5,NULL,2400 mm.
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),110 Coupe,NULL,NULL,110,1.1 R (52 Hp),NULL,NULL,NULL,NULL,NULL,52 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),110,NULL,NULL,110,1.1 L (48 Hp),NULL,NULL,NULL,NULL,NULL,48 hp,NULL,NULL,NULL
yes,Skoda,NULL,Hatchback,NULL,5,6.1 l/100 km.,55 l,Petrol (Gasoline),Rapid (facelift 2017),1215 kg.,NULL,Rapid,1.6 MPI (110 Hp) Automatic,4,6,4,NULL,Inline,110 hp/5800 rpm.,5,155 Nm/3800-4000 rpm.,2602 mm.
yes,Skoda,NULL,Sedan,NULL,4,5.5 l/100 km.,55 l,Petrol (Gasoline),Rapid Sedan (China),1155 kg.,NULL,Rapid,1.5i (110 Hp) Automatic,4,6,4,NULL,Inline,110 hp/6000 rpm.,5,150 Nm/4000 rpm.,2603 mm.
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Favorit (781),NULL,NULL,Favorit,1.3 135 (781) (60 Hp),NULL,NULL,NULL,NULL,NULL,60 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Favorit (781),NULL,NULL,Favorit,1.3 135 (781) (58 Hp),NULL,NULL,NULL,NULL,NULL,58 hp,NULL,NULL,NULL
NULL,Skoda,NULL,Hatchback,NULL,NULL,NULL,NULL,Petrol (Gasoline),Favorit (781),NULL,NULL,Favorit,1.3 135L (781) (58 Hp),NULL,NULL,NULL,NULL,NULL,58 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Favorit (781),NULL,NULL,Favorit,1.3 136 (781) (61 Hp),NULL,NULL,NULL,NULL,NULL,61 hp,NULL,NULL,NULL
NULL,Skoda,NULL,Hatchback,NULL,5,NULL,40 l,Petrol (Gasoline),Scala,NULL,NULL,Scala,1.0 TSI (115 Hp) DSG,3,7 DSG,NULL,NULL,Inline,115 hp,5,200 Nm,2649 mm.
NULL,Skoda,NULL,Hatchback,NULL,5,NULL,40 l,Petrol (Gasoline),Scala,NULL,NULL,Scala,1.5 TSI (150 Hp),4,6,NULL,NULL,Inline,150 hp,5,250 Nm,2649 mm.
NULL,Skoda,NULL,Hatchback,NULL,5,NULL,40 l,Diesel,Scala,NULL,NULL,Scala,1.6 TDI (115 Hp) DSG,4,7 DSG,NULL,NULL,Inline,115 hp,5,250 Nm,2649 mm.
NULL,Skoda,NULL,Hatchback,NULL,5,NULL,40 l,Petrol (Gasoline),Scala,NULL,NULL,Scala,1.5 TSI (150 Hp) DSG,4,7 DSG,NULL,NULL,Inline,150 hp,5,250 Nm,2649 mm.
NULL,Skoda,NULL,Hatchback,NULL,5,NULL,40 l,Diesel,Scala,NULL,NULL,Scala,1.6 TDI (115 Hp),4,6,NULL,NULL,Inline,115 hp,5,250 Nm,2649 mm.
yes,Saab,9.3,Sedan,90 mm.,4,NULL,75 l,Petrol (Gasoline),9-5,1510 kg.,NULL,9-5,2.3i T (170 Hp) Automatic,4,4,4,90 mm.,Inline,170 hp/5500 rpm.,5,280 Nm/1800 rpm.,2703 mm.
yes,Saab,9.5,Sedan,86 mm.,4,NULL,75 l,Petrol (Gasoline),9-5,1630 kg.,NULL,9-5,3.0 i V6 24V (200 Hp),6,4,4,85 mm.,V engine,200 hp/5000 rpm.,5,310 Nm/2100 rpm.,2703 mm.
yes,Saab,9.3,Sedan,90 mm.,4,NULL,75 l,Petrol (Gasoline),9-5,1510 kg.,NULL,9-5,2.3i T (170 Hp),4,5,4,90 mm.,Inline,170 hp/5500 rpm.,5,280 Nm/1800 rpm.,2703 mm.
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),100,NULL,NULL,100,1.0 (39 Hp),NULL,NULL,NULL,NULL,NULL,39 hp,NULL,NULL,NULL
NULL,Skoda,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),100,NULL,NULL,100,1.0 (42 Hp),NULL,NULL,NULL,NULL,NULL,42 hp,NULL,NULL,NULL
NULL,Subaru,10,Combi,56 mm.,5,NULL,NULL,Petrol (Gasoline),Stella,890 kg.,NULL,Stella,0.7 (64 Hp) Custom RS,4,NULL,NULL,66.8 mm.,Inline,64 hp/6400 rpm.,5,84 Nm/4400 rpm.,2360 mm.
yes,Smart,NULL,Hatchback,NULL,5,NULL,NULL,Electricity,Forfour II,1100 kg.,9.05 m,Forfour,17.6 kWh (82 Hp) electric drive,NULL,1,NULL,NULL,NULL,82 hp,4,160 Nm,2494 mm.
yes,Subaru,10,Sedan,94 mm.,4,7.8 l/100 km.,70 l,Petrol (Gasoline),Legacy VI,1573 kg.,11.2 m,Legacy,2.5i (175 Hp) AWD CVT,4,Lineartronic,4,90 mm.,Boxer,175 hp/5800 rpm.,5,235 Nm/4000 rpm.,2751 mm.
yes,Subaru,10.3,Sedan,94 mm.,4,NULL,70 l,Petrol (Gasoline),Legacy VI (facelift 2017),1591-1595 kg.,11.2 m,Legacy,2.5i (175 Hp) AWD CVT,4,Lineartronic,NULL,90 mm.,Boxer,175 hp/5800 rpm.,5,235 Nm/4000 rpm.,2751 mm.
NULL,Subaru,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Leone II,NULL,NULL,Leone,1800 4WD CAT (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,NULL,NULL,NULL
NULL,Subaru,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Leone II,NULL,NULL,Leone,1800 4WD (98 Hp),NULL,NULL,NULL,NULL,NULL,98 hp,NULL,NULL,NULL
yes,Subaru,10,Hatchback,71 mm.,5,5.0 l/100 km.,40 l,Petrol (Gasoline),Justy IV,890 kg.,8.6 m,Justy,"1,0i (70Hp)",3,5,4,84 mm.,Inline,70 hp/6000 rpm.,5,94 Nm/3600 rpm.,2430 mm.
NULL,Subaru,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Leone II,NULL,NULL,Leone,1800 4WD (120 Hp),NULL,NULL,NULL,NULL,NULL,120 hp,NULL,NULL,NULL
NULL,Subaru,NULL,Sedan,NULL,5,NULL,NULL,Petrol (Gasoline),Leone II,NULL,NULL,Leone,1800 Turbo 4WD (131 Hp),NULL,NULL,NULL,NULL,NULL,131 hp,5,NULL,NULL
NULL,Subaru,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Leone II,NULL,NULL,Leone,1800 Turbo 4WD (136 Hp),NULL,NULL,NULL,NULL,NULL,136 hp,NULL,NULL,NULL
yes,Subaru,9.1,Minivan,78 mm.,5,7.3 l/100 km.,40 l,Petrol (Gasoline),"Libero Bus (E10,E12)",1040 kg.,NULL,Libero,1.2i (54 Hp),3,5,2,83 mm.,Inline,54 hp/4600 rpm.,6,97 Nm/3000 rpm.,1885 mm.
yes,Smart,9.5,Cabriolet,63.5 mm.,2,NULL,22 l,Petrol (Gasoline),Crossblade,730 kg.,8.7 m,Crossblade,0.6 i (70 Hp),3,6,2,63 mm.,Inline,70 hp/5250 rpm.,2,100 Nm/2250 rpm.,1812 mm.
NULL,Subaru,10,Combi,56 mm.,5,NULL,NULL,Petrol (Gasoline),Stella,860 kg.,NULL,Stella,0.7 (64 Hp) L,4,NULL,4,66.8 mm.,Inline,64 hp/6400 rpm.,5,56 Nm/4000 rpm.,2360 mm.
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Fura (025A),NULL,NULL,Fura,1.4 (75 Hp),NULL,NULL,NULL,NULL,NULL,75 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Fura (025A),NULL,NULL,Fura,0.9 (39 Hp),NULL,NULL,NULL,NULL,NULL,39 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Fura (025A),NULL,NULL,Fura,0.9 (43 Hp),NULL,NULL,NULL,NULL,NULL,43 hp,NULL,NULL,NULL
yes,Seat,16.2,SUV,81 mm.,5,4.9 l/100 km.,55 l,Diesel,Ateca,2100 kg.,10.8 m,Ateca,2.0 TDI (150 Hp) 4DRIVE Start/Stop,4,6,4,95.5 mm.,Inline,150 hp/3500-4000 rpm.,5,340 Nm/1750-3000 rpm.,2638-2630 mm.
yes,Seat,16,MPV,81 mm.,5,5.6 l/100 km.,70 l,Diesel,Alhambra II (facelift 2015),2560/2590 kg.,11.9 m,Alhambra,2.0 TDI (150 Hp) 4Drive,4,6,4,95.5 mm.,Inline,150 hp/3500 rpm.,5/7,340 Nm/1750-3000 rpm.,2919 mm.
yes,Seat,16,MPV,81 mm.,5,5.2 l/100 km.,70 l,Diesel,Alhambra II (facelift 2015),2410/2540 kg.,11.9 m,Alhambra,2.0 TDI (150 Hp) DSG,4,6 DSG,4,95.5 mm.,Inline,150 hp/3500 rpm.,5/7,340 Nm/1750-3000 rpm.,2919 mm.
yes,Seat,16.2,MPV,81 mm.,5,5.3 l/100 km.,70 l,Diesel,Alhambra II (facelift 2015),2400/2550 kg.,11.9 m,Alhambra,2.0 TDI (184 Hp),4,6,4,95.5 mm.,Inline,184 hp/3500-4000 rpm.,5/7,380 Nm/1750-3000 rpm.,2919 mm.
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),133,NULL,NULL,133,0.8 (34 Hp),NULL,NULL,NULL,NULL,NULL,34 hp,NULL,NULL,NULL
yes,Seat,16,MPV,81 mm.,5,5.3 l/100 km.,70 l,Diesel,Alhambra II (facelift 2015),2400/2550 kg.,11.9 m,Alhambra,2.0 TDI (184 Hp) DSG,4,6 DSG,4,95.5 mm.,Inline,184 hp/3500-4000 rpm.,5/7,380 Nm/1750-3000 rpm.,2919 mm.
yes,Seat,9.6,MPV,82.5 mm.,5,7.2 l/100 km.,70 l,Petrol (Gasoline),Alhambra II (facelift 2015),2360/2490 kg.,11.9 m,Alhambra,2.0 TSI (220 Hp) DSG,4,6 DSG,4,92.8 mm.,Inline,220 hp/4500-6200 rpm.,5/7,350 Nm/1500-4400 rpm.,2919 mm.
yes,Seat,10.5,SUV,74.5 mm.,5,5.0 l/100 km.,40 l,Petrol (Gasoline),Arona,1645-1730 kg.,NULL,Arona,1.0 EcoTSI (115 Hp) DSG,3,7 DSG,NULL,76.4 mm.,Inline,115 hp/5000-5500 rpm.,5,200 Nm/2000-3500 rpm.,2566 mm.
yes,Seat,16.2,SUV,79.5 mm.,5,4.0-4.1 l/100 km.,40 l,Diesel,Arona,1715-1800 kg.,10.6 m,Arona,1.6 TDI (95 Hp),4,5,NULL,80.5 mm.,Inline,95 hp/2750-4600 rpm.,5,250 Nm/1500-2600 rpm.,2566 mm.
yes,Seat,16.2,SUV,79.5 mm.,5,4.4 l/100 km.,40 l,Diesel,Arona,1745-1830 kg.,NULL,Arona,1.6 TDI (95 Hp) DSG,4,7 DSG,4,80.5 mm.,Inline,95 hp/2750-4600 rpm.,5,250 Nm/1500-2600 rpm.,2566 mm.
yes,Seat,16.2,SUV,79.5 mm.,5,4.1 l/100 km.,40 l,Diesel,Arona,1725-1810 kg.,10.6 m,Arona,1.6 TDI (115 Hp),4,6,4,80.5 mm.,Inline,115 hp/3250-4000 rpm.,5,250 Nm/1500-3200 rpm.,2566 mm.
yes,Seat,11.6,SUV,82.5 mm.,5,6.9-7.0 l/100 km.,NULL,Petrol (Gasoline),Ateca,2080 kg.,NULL,Ateca,2.0 TSI (190 Hp) 4DRIVE DSG,4,7 DSG,4,92.8 mm.,Inline,190 hp/4200-6000 rpm.,5,320 Nm/1450-4200 rpm.,2630 mm.
yes,Seat,15.5,SUV,81 mm.,5,5.0 l/100 km.,55 l,Diesel,Ateca,2150 kg.,10.8 m,Ateca,2.0 TDI (190 Hp) 4DRIVE DSG Start/Stop,4,7 DSG,4,95.5 mm.,Inline,190 hp/3500-4000 rpm.,5,400 Nm/1750-3000 rpm.,2638-2630 mm.
yes,Seat,16.5,Sedan,81 mm.,4,5.5 l/100 km.,70 l,Diesel,Exeo,1430 kg.,11.2 m,Exeo,2.0 TDI (143 Hp) DPF,4,6,2,95.5 mm.,Inline,143 hp/4000 rpm.,5,320 Nm/2500 rpm.,2642 mm.
yes,Seat,10.3,Sedan,82.5 mm.,4,7.7 l/100 km.,70 l,Petrol (Gasoline),Exeo,1430 kg.,11.2 m,Exeo,2.0 TSI (200 Hp),4,6,4,92.8 mm.,Inline,200 hp/5700 rpm.,5,280 Nm/3500 rpm.,2642 mm.
yes,Seat,16.5,Sedan,81 mm.,4,5.8 l/100 km.,70 l,Diesel,Exeo,1455 kg.,11.2 m,Exeo,2.0 TDI (170 Hp) DPF,4,6,4,95.5 mm.,Inline,170 hp/4200 rpm.,5,350 Nm/1750-2500 rpm.,2642 mm.
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Marbella (28),NULL,NULL,Marbella,0.9 CAT (40 Hp),NULL,NULL,NULL,NULL,NULL,40 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Marbella (28),NULL,NULL,Marbella,0.9 CAT (41 Hp),NULL,NULL,NULL,NULL,NULL,41 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Ronda (022A),NULL,NULL,Ronda,1.4 (73 Hp),NULL,NULL,NULL,NULL,NULL,73 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Ronda (022A),NULL,NULL,Ronda,1.4 (85 Hp),NULL,NULL,NULL,NULL,NULL,85 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Ronda (022A),NULL,NULL,Ronda,1.6 (95 Hp),NULL,NULL,NULL,NULL,NULL,95 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Ronda (022A),NULL,NULL,Ronda,1.7 Diesel (54 Hp),NULL,NULL,NULL,NULL,NULL,54 hp,NULL,NULL,NULL
NULL,Seat,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Ronda (022A),NULL,NULL,Ronda,1.7 Diesel (56 Hp),NULL,NULL,NULL,NULL,NULL,56 hp,NULL,NULL,NULL
NULL,Seat,10.5,SUV,74.5 mm.,5,7.3 - 8.0 l/100 km.,58 l,Petrol (Gasoline),Tarraco,2220/2330 kg.,11.9 m,Tarraco,1.5 TSI (150 Hp),4,6,4,85.9 mm.,Inline,150 hp/5000-6000 rpm.,5/7,250 Nm/1500-3500 rpm.,2790 mm.
NULL,Seat,16.2,SUV,81 mm.,5,5.7 - 6.4 l/100 km.,58 l,Diesel,Tarraco,2290/2410 kg.,11.9 m,Tarraco,2.0 TDI (150 Hp),4,6,4,95.5 mm.,Inline,150 hp/3500-4000 rpm.,5/7,340 Nm/1750-3000 rpm.,2790 mm.
NULL,Seat,16.2,SUV,81 mm.,5,NULL,58 l,Diesel,Tarraco,1728/1762 kg.,11.9 m,Tarraco,2.0 TDI (150 Hp) DSG,4,7 DSG,4,95.5 mm.,Inline,150 hp/3500-4000 rpm.,5/7,340 Nm/1750-3000 rpm.,2790 mm.
NULL,Seat,15.5,SUV,81 mm.,5,7.0 - 7.6 l/100 km.,60 l,Diesel,Tarraco,2410/2550 kg.,11.9 m,Tarraco,2.0 TDI (190 Hp) 4Drive DSG,4,7 DSG,4,95.5 mm.,Inline,190 hp/3500-4000 rpm.,5/7,400 Nm/1750-3250 rpm.,2790 mm.
NULL,Seat,11.65,SUV,82.5 mm.,5,NULL,60 l,Petrol (Gasoline),Tarraco,1698/1733 kg.,11.9 m,Tarraco,2.0 TSI (190 Hp) 4Drive DSG,4,7 DSG,4,92.8 mm.,Inline,190 hp/4200-6000 rpm.,5/7,320 Nm/1500-4100 rpm.,2790 mm.
NULL,Subaru,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Bistro,NULL,NULL,Bistro,0.66 T (64 Hp),NULL,NULL,NULL,NULL,NULL,64 hp,NULL,NULL,NULL
NULL,Subaru,9.1,Minivan,78 mm.,5,NULL,40 l,Petrol (Gasoline),Domingo I,NULL,8.4 m,Domingo,1.2 (61 Hp),3,5,2,83 mm.,Inline,61 hp/5600 rpm.,6,96 Nm/3600 rpm.,1885 mm.
yes,Subaru,NULL,Crossover,94 mm.,5,7.1 l/100 km.,63 l,Petrol (Gasoline),Forester V,NULL,NULL,Forester,2.5 (182 Hp) AWD CVT,4,CVT Lineartronic,4,90 mm.,Boxer,182 hp/5800 rpm.,5,239 Nm/4400 rpm.,2670 mm.
NULL,Subaru,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),Domingo II,NULL,NULL,Domingo,0.66 (64 Hp),NULL,NULL,NULL,NULL,NULL,64 hp,NULL,NULL,NULL
yes,Suzuki,NULL,Combi,NULL,5,NULL,NULL,Petrol (Gasoline),Forenza Wagon,NULL,NULL,Forenza,2.0 (127 Hp),NULL,5,NULL,NULL,NULL,127 hp,5,NULL,NULL
yes,Suzuki,11.5,Hatchback,64 mm.,5,3.3 l/100 km.,27 l,Petrol (Gasoline),Hustler,850 kg.,9.2 m,Hustler,0.7i (52 Hp) 4WD CVT,3,CVT,4,68.2 mm.,Inline,52 hp/6500 rpm.,4,63 Nm/4000 rpm.,2425 mm.
yes,Suzuki,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Forenza,NULL,NULL,Forenza,2.0 (127 Hp),NULL,5,NULL,NULL,Inline,127 hp,5,NULL,NULL
yes,Suzuki,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),Forenza,NULL,NULL,Forenza,2.0 (127 Hp) Automatic,NULL,4,NULL,NULL,Inline,127 hp,5,NULL,NULL
yes,Suzuki,11,Sedan,73 mm.,4,NULL,43 l,Petrol (Gasoline),Ciaz,1010-1030 kg.,10.8 m,Ciaz,1.4 (92 Hp),4,5,4,82 mm.,Inline,92 hp/6000 rpm.,5,130 Nm/4000 rpm.,2650 mm.
yes,Suzuki,11,Sedan,73 mm.,4,NULL,43 l,Petrol (Gasoline),Ciaz,1020-1040 kg.,10.8 m,Ciaz,1.4 (92 Hp) Automatic,4,4,4,82 mm.,Inline,92 hp/6000 rpm.,5,130 Nm/4000 rpm.,2650 mm.
yes,Suzuki,NULL,Sedan,69.6 mm.,4,3.55 l/100 km.,43 l,Diesel,Ciaz (facelift 2018),NULL,10.8 m,Ciaz,1.2d (90 Hp),4,5,4,82 mm.,Inline,90 hp/4000 rpm.,5,200 Nm/1750 rpm.,2650 mm.
yes,Suzuki,NULL,Sedan,74 mm.,4,4.63 l/100 km.,43 l,Petrol (Gasoline),Ciaz (facelift 2018),NULL,10.8 m,Ciaz,1.5i (105 Hp),4,5,4,85 mm.,Inline,105 hp/6000 rpm.,5,138 Nm/4400 rpm.,2650 mm.
yes,Suzuki,NULL,Sedan,74 mm.,4,4.93 l/100 km.,43 l,Petrol (Gasoline),Ciaz (facelift 2018),NULL,10.8 m,Ciaz,1.5i (105 Hp) Automatic,4,4,4,85 mm.,Inline,105 hp/6000 rpm.,5,138 Nm/4400 rpm.,2650 mm.
yes,Suzuki,11,Sedan,73 mm.,4,NULL,37 l,Petrol (Gasoline),Dzire III,855-890 kg.,9.6 m,Dzire,1.2i (83 Hp),4,5,4,71.5 mm.,Inline,83 hp/6000 rpm.,5,113 Nm/4200 rpm.,2450 mm.
yes,Suzuki,11,Sedan,73 mm.,4,NULL,37 l,Petrol (Gasoline),Dzire III,885-895 kg.,9.6 m,Dzire,1.2i (83 Hp) Automatic,4,5,4,71.5 mm.,Inline,83 hp/6000 rpm.,5,113 Nm/4200 rpm.,2450 mm.
NULL,Suzuki,8.9,NULL,75 mm.,NULL,NULL,NULL,Petrol (Gasoline),Escudo,NULL,NULL,Escudo,1.6 i (80 Hp),4,NULL,2,90 mm.,Inline,80 hp/5400 rpm.,NULL,127 Nm/3000 rpm.,NULL
NULL,Suzuki,9.7,NULL,84 mm.,NULL,NULL,NULL,Petrol (Gasoline),Escudo,NULL,NULL,Escudo,2.0i (140 Hp),4,NULL,4,90 mm.,Inline,140 hp/6500 rpm.,NULL,186 Nm/4000 rpm.,NULL
NULL,Suzuki,9.5,NULL,75 mm.,NULL,NULL,NULL,Petrol (Gasoline),Escudo,NULL,NULL,Escudo,1.6i (101 Hp),4,NULL,4,90 mm.,Inline,101 hp/6000 rpm.,NULL,134 Nm/3000 rpm.,NULL
NULL,Suzuki,9.5,NULL,75 mm.,NULL,NULL,NULL,Petrol (Gasoline),Escudo,NULL,NULL,Escudo,1.6i (107 Hp),4,NULL,4,90 mm.,Inline,107 hp/6000 rpm.,NULL,144 Nm/4500 rpm.,NULL
NULL,Suzuki,9.7,NULL,84 mm.,NULL,NULL,NULL,Petrol (Gasoline),Escudo,NULL,NULL,Escudo,2.0i (145 Hp),4,NULL,4,90 mm.,Inline,145 hp/6500 rpm.,NULL,186 Nm/4000 rpm.,NULL
yes,Suzuki,9.5,Off-road vehicle,88 mm.,5,NULL,NULL,Petrol (Gasoline),Grand Escudo,NULL,NULL,Grand Escudo,2.7 V6 (177 Hp),6,4,4,75 mm.,V engine,177 hp/6000 rpm.,7,231 Nm/3300 rpm.,NULL
yes,Suzuki,8.4,Hatchback,68 mm.,5,NULL,30 l,Petrol (Gasoline),Kei (HN),770 kg.,9.2 m,Kei,0.7 i 12V Sport (64 Hp),3,5,4,60.4 mm.,Inline,64 hp/6500 rpm.,5,106 Nm/3500 rpm.,2360 mm.
yes,Suzuki,11.5,Hatchback,64 mm.,5,3.1 l/100 km.,27 l,Petrol (Gasoline),Hustler,800 kg.,9.2 m,Hustler,0.7i (52 Hp) CVT,3,CVT,4,68.2 mm.,Inline,52 hp/6500 rpm.,4,63 Nm/4000 rpm.,2425 mm.
NULL,Toyota,NULL,Hatchback,NULL,5,NULL,60 l,Petrol (Gasoline),Blade,1250 kg.,10.4 m,Blade,2.4 (167 Hp),NULL,NULL,NULL,NULL,NULL,167 hp,5,NULL,2600 mm.
NULL,Toyota,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),bB Open Deck,NULL,NULL,BB,1.3 i 16V (88 Hp),NULL,NULL,NULL,NULL,NULL,88 hp,NULL,NULL,NULL
yes,Toyota,10.5,Hatchback,71 mm.,5,4.6 l/100 km.,35 l,Petrol (Gasoline),Aygo (Facelift 2009),830 kg.,NULL,Aygo,1.0 VVT-i (68 Hp),3,5,4,84 mm.,Inline,68 hp/6000 rpm.,5,93 Nm/3600 rpm.,2340 mm.
yes,Toyota,10.8,Hatchback,94 mm.,5,NULL,60 l,Petrol (Gasoline),Blade,1250 kg.,10.4 m,Blade,3.4 24V6 (280 Hp) Blade Maste,6,6,4,83 mm.,V engine,280 hp/6200 rpm.,5,206 Nm,2600 mm.
yes,Toyota,8.5,Sedan,86 mm.,4,9.6 l/100 km.,80 l,Petrol (Gasoline),Aristo (S14),1680 kg.,NULL,Aristo,3.0 i 24V Turbo (330 Hp),6,3,4,86 mm.,Inline,330 hp/5600 rpm.,5,440 Nm/4800 rpm.,2780 mm.
NULL,Toyota,10.5,Sedan,75 mm.,4,NULL,42 l,Petrol (Gasoline),Belta,NULL,NULL,Belta,1.3 (86 Hp) Automatic,4,4,4,73.5 mm.,Inline,86 hp/6000 rpm.,5,124 Nm/4400 rpm.,2550 mm.
NULL,Toyota,10.5,Sedan,75 mm.,4,NULL,42 l,Petrol (Gasoline),Belta,NULL,NULL,Belta,1.5 (106 Hp) Automatic,4,4,4,84.7 mm.,Inline,106 hp/6000 rpm.,5,145 Nm/4200 rpm.,2550 mm.
NULL,Toyota,10.5,Sedan,75 mm.,4,NULL,42 l,Petrol (Gasoline),Belta,NULL,NULL,Belta,1.6 (106 Hp),4,5,4,84.7 mm.,Inline,106 hp/6000 rpm.,5,145 Nm/4200 rpm.,2550 mm.
NULL,Toyota,10.5,Sedan,75 mm.,4,NULL,42 l,Petrol (Gasoline),Belta,NULL,NULL,Belta,1.5 (106 Hp),4,5,4,84.7 mm.,Inline,106 hp/6000 rpm.,5,145 Nm/4200 rpm.,2550 mm.
NULL,Toyota,10.5,NULL,75 mm.,NULL,NULL,NULL,Petrol (Gasoline),Allex,NULL,NULL,Allex,1.5 i (110 Hp),4,NULL,4,84.7 mm.,Inline,110 hp/6000 rpm.,NULL,143 Nm/4200 rpm.,NULL
yes,Toyota,NULL,Minivan,90 mm.,5,NULL,65 l,Hybrid - petrol / electricity,Alphard III (facelift 2017),2110 kg.,11.2 m,Alphard,2.5 (152 Hp) AWD Hybrid CVT,4,CVT-i,4,98 mm.,Inline,152 hp/5700 rpm.,7,206 Nm/4400-4800 rpm.,3000 mm.
yes,Toyota,NULL,Minivan,90 mm.,5,NULL,65 l,Petrol (Gasoline),Alphard III (facelift 2017),2050 kg.,11.2 m,Alphard,2.5 (182 Hp) AWD CVT,4,CVT-i,4,98 mm.,Inline,182 hp/6000 rpm.,7,235 Nm/4100 rpm.,3000 mm.
yes,Tata,NULL,Hatchback,NULL,5,NULL,35 l,Diesel,Tigor,1085-1130 kg.,10.0-10.6 m,Tigor,1.05d (70 Hp),3,5,4,NULL,Inline,70 hp/4000 rpm.,5,140 Nm/1800-3000 rpm.,2450 mm.
