abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),66,NULL,NULL,66,DL 1.1 (45 Hp),NULL,NULL,NULL,NULL,NULL,45 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),66,NULL,NULL,66,GL 1.3 (57 Hp),NULL,NULL,NULL,NULL,NULL,57 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),740 (744),NULL,NULL,740,2.3 16V (159 Hp),NULL,NULL,NULL,NULL,NULL,159 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),740 (744),NULL,NULL,740,2.3 Turbo (156 Hp),NULL,NULL,NULL,NULL,NULL,156 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),740 (744),NULL,NULL,740,2.3 Turbo (165 Hp),NULL,NULL,NULL,NULL,NULL,165 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),240 Combi (P245),NULL,NULL,240,2.3 (133 Hp),NULL,NULL,NULL,NULL,NULL,133 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),164,NULL,NULL,164,2.9 (160 Hp),NULL,NULL,NULL,NULL,NULL,160 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),164,NULL,NULL,164,2.9 E (131 Hp),NULL,NULL,NULL,NULL,NULL,131 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),240 Combi (P245),NULL,NULL,240,2.3 (136 Hp),NULL,NULL,NULL,NULL,NULL,136 hp,NULL,NULL,NULL
NULL,Volvo,NULL,Combi,NULL,5,NULL,70 l,Diesel,240 Combi (P245),NULL,NULL,240,2.4 Diesel (79 Hp),6,5,2,NULL,Inline,79 hp,5,NULL,NULL
