abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,1560,diesel,55,,,66 kW (90 hp),215,Ford C-MAX 1.6 TDCi 90hp Ghia,4,5,0,28.550,0,174,manual,2640 mm
1,1,1,1,1,1,,1596,petrol,55,,,74 kW (100 hp),145,Ford C-MAX 1.6 16V Ghia,4,5,0,25.886,0,175,manual,2640 mm
1,1,1,1,1,1,,1997,diesel,55,,,100 kW (136 hp),320,Ford C-MAX 2.0 TDCi Titanium,4,5,0,32.386,0,200,manual,2640 mm
1,1,1,1,1,1,,1753,diesel,55,,,85 kW (115 hp),280,Ford C-MAX 1.8 TDCi Titanium,4,5,0,30.350,0,188,manual,2640 mm
1,1,1,1,1,1,,1560,diesel,55,,,66 kW (90 hp),215,Ford C-MAX 1.6 TDCi 90hp Titanium,4,5,0,28.550,0,174,manual,2640 mm
1,1,1,1,1,1,,1999,petrol,55,,,107 kW (145 hp),185,Ford C-MAX 2.0 16V Titanium,4,5,0,30.514,0,192,automatic,2640 mm
1,1,1,1,1,1,,1997,diesel,55,,,100 kW (136 hp),320,Ford C-MAX 2.0 TDCi Ghia,4,5,0,32.386,0,200,manual,2640 mm
1,1,1,1,1,1,,1753,diesel,55,,,85 kW (115 hp),280,Ford C-MAX 1.8 TDCi Ghia,4,5,0,30.350,0,188,manual,2640 mm
1,1,1,1,1,1,,1753,diesel,55,,,85 kW (115 hp),280,Ford C-MAX 1.8 TDCi Trend,4,5,0,28.850,0,188,manual,2640 mm
1,1,1,1,1,1,,1560,diesel,55,,,80 kW (109 hp),240,Ford C-MAX 1.6 TDCi 109hp Ghia,4,5,0,28.916,0,185,manual,2640 mm
1,1,1,1,1,1,,1199,petrol,50,,,60 kW (82 hp),118,DS 3 Cabrio PureTech 82 Chic,3,5,1,20.490,0,172,manual,2464 mm
1,1,1,1,1,1,,1598,petrol,50,,,120 kW (163 hp),240,DS 3 Cabrio THP 165 Sport Chic,4,5,1,28.290,0,214,manual,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,81 kW (110 hp),205,DS 3 Cabrio PureTech 110 So Chic,3,5,1,23.690,0,190,manual,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,60 kW (82 hp),118,DS 3 Cabrio PureTech 82 So Chic,3,5,1,22.190,0,172,manual,2464 mm
